model,operation,threads,block_size,runtime
0,0,131072,32,4.67071e-07
0,0,131072,64,2.38863e-07
0,0,131072,128,2.14525e-07
0,0,131072,256,2.35844e-07
0,0,131072,512,2.36992e-07
0,0,131072,1024,2.38396e-07
0,1,131072,32,4.79831e-07
0,1,131072,64,2.42496e-07
0,1,131072,128,2.20053e-07
0,1,131072,256,2.4221e-07
0,1,131072,512,2.43407e-07
0,1,131072,1024,2.44489e-07
0,2,131072,32,7.10385e-07
0,2,131072,64,3.59083e-07
0,2,131072,128,3.25021e-07
0,2,131072,256,3.5796e-07
0,2,131072,512,3.57656e-07
0,2,131072,1024,3.59332e-07
0,3,131072,32,1.26893e-06
0,3,131072,64,6.40897e-07
0,3,131072,128,5.81835e-07
0,3,131072,256,6.43712e-07
0,3,131072,512,6.41067e-07
0,3,131072,1024,6.43944e-07
0,4,131072,32,5.43813e-07
0,4,131072,64,2.69922e-07
0,4,131072,128,2.44225e-07
0,4,131072,256,2.68286e-07
0,4,131072,512,2.7071e-07
0,4,131072,1024,2.81909e-07
0,5,131072,32,6.50865e-07
0,5,131072,64,3.28246e-07
0,5,131072,128,3.00599e-07
0,5,131072,256,3.26069e-07
0,5,131072,512,3.29261e-07
0,5,131072,1024,3.35781e-07
1,0,131072,32,8.4285e-07
1,0,131072,64,4.74397e-07
1,0,131072,128,4.38397e-07
1,0,131072,256,4.76013e-07
1,0,131072,512,4.77816e-07
1,0,131072,1024,4.79886e-07
1,1,131072,32,8.57631e-07
1,1,131072,64,4.79965e-07
1,1,131072,128,4.42708e-07
1,1,131072,256,4.81435e-07
1,1,131072,512,4.84241e-07
1,1,131072,1024,4.84519e-07
1,2,131072,32,1.9495e-06
1,2,131072,64,1.37576e-06
1,2,131072,128,1.43705e-06
1,2,131072,256,1.38364e-06
1,2,131072,512,1.38881e-06
1,2,131072,1024,1.39877e-06
1,3,131072,32,1.56081e-06
1,3,131072,64,1.04313e-06
1,3,131072,128,1.0942e-06
1,3,131072,256,1.04654e-06
1,3,131072,512,1.05525e-06
1,3,131072,1024,1.06021e-06
1,4,131072,32,8.85409e-07
1,4,131072,64,4.75769e-07
1,4,131072,128,4.36011e-07
1,4,131072,256,4.77121e-07
1,4,131072,512,4.80202e-07
1,4,131072,1024,4.84659e-07
1,5,131072,32,7.55555e-07
1,5,131072,64,4.11785e-07
1,5,131072,128,3.78078e-07
1,5,131072,256,4.11351e-07
1,5,131072,512,4.15372e-07
1,5,131072,1024,4.17361e-07
2,0,131072,32,8.08287e-07
2,0,131072,64,4.07523e-07
2,0,131072,128,3.34527e-07
2,0,131072,256,3.35585e-07
2,0,131072,512,4.10072e-07
2,0,131072,1024,4.12337e-07
2,1,131072,32,8.21848e-07
2,1,131072,64,4.14394e-07
2,1,131072,128,3.42687e-07
2,1,131072,256,3.42918e-07
2,1,131072,512,4.17377e-07
2,1,131072,1024,4.20065e-07
2,2,131072,32,8.1875e-07
2,2,131072,64,4.12938e-07
2,2,131072,128,3.40382e-07
2,2,131072,256,3.40568e-07
2,2,131072,512,4.16057e-07
2,2,131072,1024,4.21635e-07
2,3,131072,32,8.75909e-07
2,3,131072,64,4.41833e-07
2,3,131072,128,3.67658e-07
2,3,131072,256,3.68006e-07
2,3,131072,512,4.48121e-07
2,3,131072,1024,4.53397e-07
2,4,131072,32,5.08145e-07
2,4,131072,64,2.56627e-07
2,4,131072,128,2.13613e-07
2,4,131072,256,2.14974e-07
2,4,131072,512,2.6213e-07
2,4,131072,1024,2.65611e-07
2,5,131072,32,5.16842e-07
2,5,131072,64,2.61436e-07
2,5,131072,128,2.17664e-07
2,5,131072,256,2.19325e-07
2,5,131072,512,2.67012e-07
2,5,131072,1024,2.69043e-07
