model,operation,loop_count,threads,runtime
0,0,131072,1,0.000242683
0,0,131072,2,0.000122468
0,0,131072,4,6.69767e-05
0,0,131072,8,6.83102e-05
0,1,131072,1,0.000248749
0,1,131072,2,0.000126478
0,1,131072,4,6.70754e-05
0,1,131072,8,7.19718e-05
0,2,131072,1,0.000248038
0,2,131072,2,0.000130915
0,2,131072,4,6.92909e-05
0,2,131072,8,0.00010181
0,3,131072,1,0.000259501
0,3,131072,2,0.000128984
0,3,131072,4,6.97916e-05
0,3,131072,8,7.1191e-05
0,4,131072,1,0.000271742
0,4,131072,2,0.000131752
0,4,131072,4,7.29907e-05
0,4,131072,8,7.46704e-05
0,5,131072,1,0.000271027
0,5,131072,2,0.000144117
0,5,131072,4,7.65593e-05
0,5,131072,8,7.72564e-05
1,0,131072,1,0.000376072
1,0,131072,2,0.000194011
1,0,131072,4,0.000108033
1,0,131072,8,0.000111741
1,1,131072,1,0.000380293
1,1,131072,2,0.000196985
1,1,131072,4,0.000108052
1,1,131072,8,0.00010542
1,2,131072,1,0.000403423
1,2,131072,2,0.000209239
1,2,131072,4,0.000110561
1,2,131072,8,0.000117417
1,3,131072,1,0.000399639
1,3,131072,2,0.000202984
1,3,131072,4,0.00010783
1,3,131072,8,0.000108348
1,4,131072,1,0.000398558
1,4,131072,2,0.00021594
1,4,131072,4,0.000114049
1,4,131072,8,0.000115423
1,5,131072,1,0.000423298
1,5,131072,2,0.000213284
1,5,131072,4,0.000112383
1,5,131072,8,0.000112695
2,0,131072,1,0.000321935
2,0,131072,2,0.000172589
2,0,131072,4,9.11074e-05
2,0,131072,8,0.000114235
2,1,131072,1,0.000321996
2,1,131072,2,0.000171094
2,1,131072,4,9.04732e-05
2,1,131072,8,9.17669e-05
2,2,131072,1,0.000322372
2,2,131072,2,0.000171566
2,2,131072,4,9.0685e-05
2,2,131072,8,9.10167e-05
2,3,131072,1,0.000329427
2,3,131072,2,0.000174641
2,3,131072,4,9.23388e-05
2,3,131072,8,9.3583e-05
2,4,131072,1,0.000312722
2,4,131072,2,0.000167685
2,4,131072,4,8.84541e-05
2,4,131072,8,8.92924e-05
2,5,131072,1,0.000333282
2,5,131072,2,0.000167422
2,5,131072,4,8.85903e-05
2,5,131072,8,8.98047e-05
